timestamp,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,date,time
2023-08-01 13:19:00,28902.48,28902.49,28902.48,28902.49,4.68658,135453.7936575,258,0.89391,25836.2248359,2023-08-01,13:19:00
2023-07-31 23:59:00,29232.26,29232.26,29232.25,29232.25,8.96878,262177.7048595,166,8.57045,250533.622717,2023-07-31,23:59:00
2023-07-30 23:59:00,29279.99,29281.09,29279.99,29281.09,9.5376,279269.7767409,195,2.57994,75542.0096422,2023-07-30,23:59:00
2023-07-29 23:59:00,29352.91,29352.91,29352.9,29352.9,3.98849,117073.776992,151,2.8871,84744.786461,2023-07-29,23:59:00
2023-07-28 23:59:00,29314.14,29314.15,29314.14,29314.14,1.92765,56507.4081303,148,0.61593,18055.4644095,2023-07-28,23:59:00
2023-07-27 23:59:00,29224.12,29224.13,29222.77,29222.78,5.1071,149248.331612,206,0.21611,6315.4849797,2023-07-27,23:59:00
2023-07-26 23:59:00,29351.95,29351.96,29351.95,29351.96,3.06193,89873.6419888,135,2.57253,75508.7976588,2023-07-26,23:59:00
2023-07-25 23:59:00,29232.07,29232.08,29228.91,29228.91,33.61847,982664.0325573,375,17.01149,497229.0550452,2023-07-25,23:59:00
2023-07-24 23:59:00,29176.51,29176.51,29176.5,29176.5,1.84735,53899.2107237,131,0.34487,10062.1030037,2023-07-24,23:59:00
2023-07-23 23:59:00,30090.01,30090.01,30083.75,30083.75,3.91377,117753.3284557,261,0.38146,11476.3134199,2023-07-23,23:59:00
2023-07-22 23:59:00,29786.99,29794.0,29782.0,29794.0,31.25979,931122.5011615,784,20.93981,623733.8662006,2023-07-22,23:59:00
2023-07-21 23:59:00,29900.0,29901.72,29900.0,29901.72,14.87546,444785.95476,313,10.76945,322010.73075,2023-07-21,23:59:00
2023-07-20 23:59:00,29793.99,29800.0,29793.99,29800.0,127.86027,3810183.8050238,504,127.15498,3789167.0434767,2023-07-20,23:59:00
2023-07-19 23:59:00,29905.57,29909.21,29905.56,29909.21,5.94706,177855.5408821,128,4.99661,149428.510646,2023-07-19,23:59:00
2023-07-18 23:59:00,29864.99,29865.0,29859.13,29859.13,5.63704,168341.1190797,247,0.8247,24629.0377136,2023-07-18,23:59:00
2023-07-17 23:59:00,30138.01,30138.01,30138.0,30138.0,1.27223,38342.4699677,109,0.22277,6713.8444877,2023-07-17,23:59:00
2023-07-16 23:59:00,30229.46,30232.0,30229.46,30231.99,1.50707,45559.428898,160,1.19515,36129.6695384,2023-07-16,23:59:00
2023-07-15 23:59:00,30284.64,30289.53,30284.64,30289.52,1.87776,56872.1355178,205,1.47123,44558.7602376,2023-07-15,23:59:00
